Gene_ID	Vegetative_Meristem_16-19Day	6-7_internode	7-8_internode	Juvenile_Leaf_Blade3	Leaf_Zone 1_Symmetrical	Leaf_Zone 2_Stomatal	Leaf_Zone 3_Growth	Mature_Leaf_8	Primary_Root_5Days	Root_Meristem_Zone_5Days	Root_Cortex_5Days	Root_Stelle_5Days	Root_Elongation_Zone_5Days	Secondary_Root_7-8_Days	Tassel	Anther_1.0mm	Anther_2.0mm	W23_Pollen	B73_Mature_Pollen	B73_Germ_Pollen	Female_Spikelet	Ear_Primordium_1mm	Ear_Primordium_2-4mm	Ear_Primordium_6-8mm	Silk_unpollinated	Endosperm_8_DAP	Endosperm_10_DAP	Endosperm_12_DAP	Endosperm Crown_27_DAP	Pericarp_Aleurone_27_DAP	Embryo_20_DAP	Embryo_38_DAP	Germ_Kernels_2_DAI
Zm00001d007718	0	0	0	0	0	0	0	0	1137.124599	0	2374.974572	16.45218015	0	665.1577732	0	0	391.3552687	0	0	0	0	0	0	0	0	0	0	0	0	44.51449937	0	0	0
Zm00001d007716	0	0	0	62.39498527	0	0	0	118.177721	0	0	0	0	0	0	0	0	0	98.30987041	113.5326958	63.8778396	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d018986	191.151202	13.61964758	22.9730677	0	76.19405132	139.0462731	272.2573378	20.64308775	32.23230614	32.70988629	7.947663228	33.37664665	13.45177485	0	41.5165016	137.7331434	67.01091856	0	0	9.798436001	40.67877783	43.9729859	12.19355052	82.21060664	15.01955259	29.49752637	23.14957749	6.939631722	0	18.07771413	19.48902426	0	16.7480968
Zm00001d048402	0	0	0	0	17.13039563	0	0	0	0	0	0	0	0	0	0	77.2299587	63.23489843	0	0	0	0	13.2058214	0	0	0	21.40010179	14.53888374	54.24105076	0	0	51.30963324	0	0
Zm00001d048403	2603.703657	1720.153398	2693.262248	369.0259639	1801.671957	2070.936727	1305.668693	859.4129438	1952.335116	2868.880335	3801.858254	3349.974884	3175.999261	3001.593977	4339.041204	3091.279076	5070.575321	1019.35821	716.0975497	478.9467918	3101.124512	2218.835223	4594.077687	3539.486606	2247.781038	1812.130836	1783.226929	1954.774742	1433.942038	3102.916548	2170.229274	2952.903421	2096.963354
Zm00001d048404	22.33199784	0	0	0	6.723987824	10.93595601	5.991840245	0	0	4.267619487	0	0	3.141355534	0	5.906887519	9.304935437	0	0	0	0	0	15.23744937	5.246307714	12.73133006	0	0.934162007	0	0	0	0	6.565380717	2.059784965	0
Zm00001d048407	333.3573618	305.0892944	383.9447119	0	375.8947232	382.17822	381.1466305	35.71741184	247.0125411	430.7243649	326.5948123	158.8521249	319.2297328	460.3632553	675.3732946	347.2242896	368.6050399	349.6032583	222.282872	66.54866091	393.867532	148.8378235	633.8941373	616.5357925	189.4532547	466.5609159	603.8550434	952.1388797	139.6405339	250.7474724	433.9328784	250.7944207	301.7244161
Zm00001d048342	0	0	0	0	0	0	3.332080265	18.51246297	0	0	0	0	0	0	0	0	0	0	0	0	8.504028354	0	0	0	0	0	0	0	0	12.84904631	0	0	0
Zm00001d048393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1456075	5.316247364
Zm00001d048394	3916.869071	3244.930093	3824.576557	0	3188.122668	4298.819795	3342.805232	0	1477.451255	4125.911398	331.6652188	996.8212982	2071.164051	1147.07134	3137.490238	3842.29707	3006.471225	0	0	0	3012.599172	3295.966788	2478.765286	3884.523546	52.41532837	1040.378684	2186.201084	1568.707821	0	0	2310.082473	618.8291644	0
Zm00001d048396	0	14.82449619	0	0	0	0	12.47859792	0	0	0	0	0	0	0	0	0	78.76303678	5540.183655	5549.749237	8898.535578	28.97359676	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d048397	39.76640329	136.7350325	74.45097113	0	125.9593977	144.2344062	185.5124777	17.71580328	77.27845203	89.21352084	122.9395607	182.106413	87.38246301	110.7683944	29.86401214	108.2804041	139.4798549	46.08969728	0	0	194.1358199	118.3214015	70.01548632	124.6484156	85.54320032	189.6795409	67.33479297	91.61678306	166.5235967	380.3235097	280.4237702	127.6776971	0
Zm00001d048398	0	12.848047	12.78066548	0	0	0	9.522646313	0	0	4.588303227	0	0	0	0	0	0	7.496423438	0	0	0	6.67664256	0	0	2.601368163	0	0	0	0	0	0	27.73830457	0	0
Zm00001d048271	1296.012059	1649.123276	2293.424101	60.09078345	3172.052668	1956.070834	2054.044357	52.78295024	852.4232695	1142.946782	532.7781725	1409.374868	2133.777969	550.6355407	1067.571711	2530.494441	2701.652205	0	142.4675042	90.83218735	1319.011801	3245.237282	2497.39351	1774.506282	338.2845965	2020.590073	3199.748183	2509.460168	93.27260919	396.7650816	2436.475895	246.5933562	101.4218453
Zm00001d048307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.57615463	0	0	0	0	0
Zm00001d048308	250.7261902	124.2080793	143.4822509	47.54810189	529.5444632	490.6143979	448.6200742	16.91637905	88.60341271	361.1551184	112.7835115	84.17775765	290.1038077	22.0542184	508.8696442	163.4222252	57.55176875	0	3.881513873	0	94.11019675	339.9333484	478.2618856	345.4313829	58.89132375	269.2764725	259.8505046	142.7873612	5.391570025	76.20057021	201.9488542	38.08748421	152.286701
Zm00001d048309	0	32.88652604	0	0	0	121.0210761	435.7761998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.34781796	0	0	0
Zm00001d023327	0	0	0	0	0	0	0	0	2.448620916	0	3.354475135	6.956243093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.276748809	0	0
Zm00001d003216	24.02168188	0	0	0	0	2.295554595	4.982805938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d012158	0	0	0	0	0	0	1.256459102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d012159	12.82101439	0	0	0	13.86757993	5.588824785	4.239569901	2.16450615	0	0	0	0	0	0	0	0	9.533666977	0	0	0	0	4.310424033	0	21.0248654	0	0	0	15.67118597	21.74950182	0	13.66717383	0	0
Zm00001d044303	41.94286806	88.96502263	42.4162278	17.11552433	35.47329064	46.3491117	94.37586605	6.935849517	83.00001231	35.66679553	66.61098146	196.9111538	66.99363708	57.47669284	61.99609687	48.96371415	46.61073574	0	0	0	70.72643964	24.30415741	19.7880625	19.00331591	413.4827395	157.2902943	73.5643331	64.82067442	53.98397689	135.3929804	17.38770361	16.0232143	20.26407756
Zm00001d044304	62.07453965	71.70666935	107.7958655	160.2798398	73.676654	70.24254752	67.88975654	85.86447289	66.43258806	35.07263899	26.41374107	60.34259698	76.72985811	25.96927206	114.9453381	17.69659539	54.63828055	0	0	0	97.57523503	19.98594715	83.55611874	96.7394623	23.11807612	67.00061046	5.296359281	4.909858017	15.07641465	65.43440056	83.0313631	17.13740823	15.97005398
Zm00001d022527	348.5201892	134.0183062	217.1943115	8.371162402	228.5250568	169.5475871	114.0998127	5.809548269	64.27102843	160.1943765	28.2170874	26.50907551	80.42556316	38.83730746	253.4678352	195.2306224	121.4155503	0.942675627	0	0	115.2435602	277.624908	248.8066453	266.1172659	18.96686427	151.4402945	141.8569079	173.8131403	38.56672877	109.8604747	267.3587342	71.72009046	21.78241753
