Anchor	Maize1	Maize2
Sobic.003G282100.1.v3.1	Zm00008a013935_T01.v1.1	Zm00008a032400_T01.v1.1
Sobic.004G054500.1.v3.1	Zm00008a021015_T01.v1.1	Zm00008a018716_T01.v1.1
Sobic.008G098700.1.v3.1	Zm00008a036612_T01.v1.1	NA
Sobic.002G388200.1.v3.1	Zm00008a029454_T01.v1.1	NA
Sobic.003G232900.1.v3.1	Zm00008a014332_T01.v1.1	NA
Sobic.002G197600.1.v3.1	Zm00008a028007_T01.v1.1	Zm00008a008868_T01.v1.1
Sobic.008G181400.1.v3.1	Zm00008a003014_T01.v1.1	NA
Sobic.007G151200.1.v3.1	Zm00008a003645_T01.v1.1	NA
Sobic.006G032900.1.v3.1	Zm00008a007739_T01.v1.1	Zm00008a037689_T01.v1.1
Sobic.001G134100.2.v3.1	Zm00008a004834_T01.v1.1	Zm00008a019619_T01.v1.1
Sobic.004G037800.1.v3.1	Zm00008a020919_T01.v1.1	NA
Sobic.001G190300.1.v3.1	Zm00008a003945_T01.v1.1	NA
Sobic.007G118500.1.v3.1	Zm00008a003828_T01.v1.1	Zm00008a016107_T01.v1.1
Sobic.006G083000.1.v3.1	Zm00008a007357_T01.v1.1	NA
Sobic.003G413700.1.v3.1	Zm00008a012842_T01.v1.1	NA
Sobic.010G047600.1.v3.1	NA	Zm00008a024324_T01.v1.1
Sobic.009G045200.1.v3.1	Zm00008a037508_T01.v1.1	NA
Sobic.007G080100.1.v3.1	Zm00008a037127_T01.v1.1	NA
Sobic.003G326500.1.v3.1	Zm00008a013590_T01.v1.1	Zm00008a033072_T01.v1.1
Sobic.010G091700.1.v3.1	Zm00008a033342_T01.v1.1	NA
Sobic.009G044800.1.v3.1	Zm00008a037504_T01.v1.1	Zm00008a031718_T01.v1.1
Sobic.004G256300.1.v3.1	NA	Zm00008a017132_T01.v1.1
Sobic.002G193300.1.v3.1	Zm00008a027956_T01.v1.1	NA
Sobic.006G024000.1.v3.1	Zm00008a007871_T01.v1.1	Zm00008a037645_T01.v1.1
Sobic.001G471600.1.v3.1	NA	Zm00008a035932_T01.v1.1
Sobic.009G033000.1.v3.1	Zm00008a037417_T01.v1.1	NA
Sobic.002G329900.1.v3.1	Zm00008a029033_T01.v1.1	Zm00008a009522_T01.v1.1
Sobic.010G088000.1.v3.1	Zm00008a033369_T01.v1.1	NA
Sobic.001G515800.1.v3.1	Zm00008a000253_T01.v1.1	Zm00008a036059_T01.v1.1
Sobic.004G074700.1.v3.1	Zm00008a021217_T01.v1.1	Zm00008a018636_T01.v1.1
Sobic.009G243400.1.v3.1	NA	Zm00008a030848_T01.v1.1
Sobic.008G165800.1.v3.1	Zm00008a002932_T01.v1.1	Zm00008a012251_T01.v1.1
