Anchor	Maize1	Maize2
Sobic.003G282100.1.v3.1	Zm00001d043591_T001	Zm00001d011747_T001
Sobic.004G054500.1.v3.1	Zm00001d015366_T001	Zm00001d053807_T001
Sobic.001G134100.2.v3.1	NA	Zm00001d013530_T001
Sobic.008G181400.1.v3.1	Zm00001d031149_T001	NA
Sobic.001G190300.1.v3.1	Zm00001d032410_T001	NA
Sobic.010G047600.1.v3.1	NA	Zm00001d036255_T001
Sobic.003G413700.1.v3.1	Zm00001d042244_T001	NA
Sobic.006G083000.1.v3.1	Zm00001d003659_T002	NA
Sobic.007G118500.1.v3.1	Zm00001d032267_T003	Zm00001d050251_T002
Sobic.009G045200.1.v3.1	Zm00001d024861_T007	NA
Sobic.009G044800.1.v3.1	Zm00001d024855_T002	Zm00001d010858_T001
Sobic.001G471600.1.v3.1	NA	Zm00001d048194_T001
Sobic.010G088000.1.v3.1	Zm00001d044869_T001	Zm00001d037200_T004
Sobic.002G329900.1.v3.1	Zm00001d021706_T001	Zm00001d006547_T001
Sobic.004G074700.1.v3.1	Zm00001d015664_T001	Zm00001d053703_T001
Sobic.008G165800.1.v3.1	Zm00001d031049_T001	Zm00001d041476_T001
Sobic.001G148000.1.v3.1	Zm00001d033471_T001	Zm00001d013630_T001
Sobic.001G301900.1.v3.1	Zm00001d029917_T001	Zm00001d047102_T001
Sobic.010G022100.1.v3.1	NA	Zm00001d036046_T001
Sobic.001G468200.1.v3.1	Zm00001d028128_T003	NA
Sobic.004G168800.1.v3.1	Zm00001d016732_T001	Zm00001d050669_T001
Sobic.009G060100.3.v3.1	Zm00001d037674_T001	NA
Sobic.005G144300.1.v3.1	NA	Zm00001d007442_T001
Sobic.007G036600.1.v3.1	Zm00001d024648_T001	NA
Sobic.010G069500.3.v3.1	Zm00001d045065_T001	NA
Sobic.010G187100.1.v3.1	Zm00001d046535_T001	Zm00001d036877_T001
Sobic.007G181600.1.v3.1	Zm00001d031727_T001	NA
Sobic.002G343200.3.v3.1	Zm00001d021830_T001	NA
Sobic.004G095500.1.v3.1	NA	Zm00001d053569_T001
Sobic.001G265300.1.v3.1	Zm00001d030328_T001	NA
Sobic.009G172700.1.v3.1	Zm00001d038466_T001	NA
Sobic.003G237800.1.v3.1	Zm00001d044059_T001	NA
Sobic.002G361400.1.v3.1	Zm00001d022016_T001	Zm00001d006752_T003
Sobic.003G303900.1.v3.1	Zm00001d043376_T006	NA
Sobic.001G434900.1.v3.1	Zm00001d028443_T001	Zm00001d047908_T001
Sobic.004G151300.1.v3.1	Zm00001d016530_T001	NA
Sobic.001G107300.2.v3.1	Zm00001d033849_T002	NA
Sobic.007G020700.1.v3.1	Zm00001d035119_T001	Zm00001d049660_T002
Sobic.006G161400.1.v3.1	Zm00001d002823_T001	NA
Sobic.007G061500.1.v3.1	NA	Zm00001d049471_T001
Sobic.003G325000.1.v3.1	Zm00001d043200_T001	Zm00001d012580_T001
Sobic.008G150000.1.v3.1	Zm00001d030916_T001	NA
Sobic.003G291400.2.v3.1	Zm00001d043514_T001	NA
Sobic.001G439800.1.v3.1	Zm00001d028391_T001	NA
