Anchor	Maize1	Maize2
LOC_Os02g40550.1.MSUv7.0	Zm00001d017246_T001	NA
LOC_Os02g04670.1.MSUv7.0	Zm00001d015231_T001	NA
LOC_Os01g71210.1.MSUv7.0	Zm00001d042169_T001	Zm00001d011899_T001
LOC_Os06g47360.1.MSUv7.0	NA	Zm00001d036539_T001
LOC_Os04g44060.1.MSUv7.0	Zm00001d003006_T001	NA
LOC_Os06g10530.1.MSUv7.0	Zm00001d044986_T001	NA
LOC_Os02g44470.1.MSUv7.0	Zm00001d017516_T001	Zm00001d051388_T001
LOC_Os12g07060.1.MSUv7.0	Zm00001d023537_T002	NA
LOC_Os02g35730.1.MSUv7.0	NA	Zm00001d050831_T001
LOC_Os07g43890.1.MSUv7.0	Zm00001d022238_T001	Zm00001d006951_T001
LOC_Os08g40160.1.MSUv7.0	Zm00001d031484_T001	NA
LOC_Os01g55050.1.MSUv7.0	NA	Zm00001d012728_T001
LOC_Os02g07790.1.MSUv7.0	NA	Zm00001d053770_T001
LOC_Os07g25460.1.MSUv7.0	Zm00001d019522_T001	Zm00001d005442_T001
LOC_Os04g35410.1.MSUv7.0	Zm00001d003649_T003	Zm00001d025431_T001
LOC_Os03g50310.1.MSUv7.0	Zm00001d033719_T001	Zm00001d013443_T001
LOC_Os02g46610.1.MSUv7.0	Zm00001d017682_T001	Zm00001d051511_T001
LOC_Os05g40410.1.MSUv7.0	Zm00001d038513_T002	Zm00001d010625_T001
LOC_Os11g02280.1.MSUv7.0	Zm00001d052342_T001	NA
LOC_Os12g38640.1.MSUv7.0	Zm00001d030762_T001	NA
LOC_Os04g57930.1.MSUv7.0	Zm00001d001843_T001	Zm00001d026608_T001
LOC_Os11g29910.1.MSUv7.0	Zm00001d049170_T001	NA
LOC_Os02g09340.1.MSUv7.0	NA	Zm00001d053726_T001
LOC_Os03g02670.1.MSUv7.0	NA	Zm00001d048499_T001
LOC_Os06g45280.1.MSUv7.0	Zm00001d046939_T001	Zm00001d036656_T001
LOC_Os03g42710.1.MSUv7.0	Zm00001d033304_T001	NA
LOC_Os05g03884.1.MSUv7.0	Zm00001d035439_T001	Zm00001d010948_T001
LOC_Os02g47920.1.MSUv7.0	Zm00001d017799_T001	NA
LOC_Os04g05010.1.MSUv7.0	Zm00001d004452_T001	NA
LOC_Os04g53700.1.MSUv7.0	Zm00001d002185_T001	NA
LOC_Os05g41160.1.MSUv7.0	Zm00001d038540_T001	NA
LOC_Os04g52300.1.MSUv7.0	Zm00001d002344_T001	Zm00001d026284_T001
LOC_Os01g01360.1.MSUv7.0	Zm00001d040201_T001	NA
LOC_Os03g17940.1.MSUv7.0	Zm00001d028731_T001	NA
LOC_Os09g37600.1.MSUv7.0	Zm00001d021447_T001	NA
LOC_Os10g34200.1.MSUv7.0	Zm00001d032666_T001	NA
LOC_Os01g74470.1.MSUv7.0	Zm00001d041947_T001	NA
LOC_Os02g51300.1.MSUv7.0	Zm00001d018050_T003	Zm00001d052255_T001
LOC_Os01g73880.1.MSUv7.0	Zm00001d041973_T001	NA
LOC_Os05g50900.1.MSUv7.0	NA	Zm00001d009715_T001
LOC_Os04g47690.2.MSUv7.0	Zm00001d002659_T001	NA
LOC_Os06g07550.1.MSUv7.0	NA	Zm00001d037476_T001
LOC_Os03g54750.1.MSUv7.0	Zm00001d034049_T001	Zm00001d013256_T001
LOC_Os03g03450.1.MSUv7.0	NA	Zm00001d048461_T001
LOC_Os03g58850.1.MSUv7.0	Zm00001d034506_T001	NA
LOC_Os10g33730.1.MSUv7.0	NA	Zm00001d014035_T001
LOC_Os03g50420.1.MSUv7.0	Zm00001d033738_T002	NA
LOC_Os01g36090.1.MSUv7.0	Zm00001d044548_T001	NA
LOC_Os04g59150.2.MSUv7.0	Zm00001d002902_T001	Zm00001d026683_T001
LOC_Os10g26670.1.MSUv7.0	Zm00001d032993_T001	Zm00001d014193_T001
LOC_Os11g32030.1.MSUv7.0	Zm00001d049277_T001	NA
LOC_Os12g39320.1.MSUv7.0	Zm00001d030860_T003	NA
LOC_Os07g27490.1.MSUv7.0	Zm00001d019595_T001	NA
LOC_Os02g35760.1.MSUv7.0	Zm00001d016879_T001	Zm00001d050833_T001
LOC_Os09g26190.1.MSUv7.0	Zm00001d020572_T001	Zm00001d005785_T005
LOC_Os03g50860.1.MSUv7.0	Zm00001d033786_T002	Zm00001d013412_T002
LOC_Os06g49780.1.MSUv7.0	NA	Zm00001d036430_T001
LOC_Os04g32600.1.MSUv7.0	Zm00001d003888_T002	NA
LOC_Os05g49050.1.MSUv7.0	NA	Zm00001d009580_T004
LOC_Os06g49890.1.MSUv7.0	NA	Zm00001d036417_T001
LOC_Os01g62760.1.MSUv7.0	Zm00001d042886_T001	Zm00001d012401_T001
LOC_Os03g56090.1.MSUv7.0	Zm00001d034207_T001	Zm00001d013164_T002
LOC_Os03g01222.1.MSUv7.0	NA	Zm00001d048550_T001
LOC_Os07g43530.1.MSUv7.0	Zm00001d022225_T001	NA
LOC_Os06g49740.1.MSUv7.0	Zm00001d014753_T002	Zm00001d036432_T001
LOC_Os02g56280.1.MSUv7.0	Zm00001d018428_T001	Zm00001d051977_T001
LOC_Os04g42960.1.MSUv7.0	Zm00001d003079_T001	Zm00001d025824_T001
LOC_Os08g40570.1.MSUv7.0	Zm00001d031540_T001	NA
LOC_Os06g06820.1.MSUv7.0	Zm00001d045216_T001	NA
LOC_Os07g39690.1.MSUv7.0	Zm00001d021956_T002	NA
LOC_Os04g37570.1.MSUv7.0	Zm00001d003515_T001	Zm00001d025541_T001
LOC_Os09g29950.1.MSUv7.0	Zm00001d020835_T015	NA
LOC_Os03g63090.1.MSUv7.0	NA	Zm00001d012854_T003
LOC_Os08g33370.1.MSUv7.0	NA	Zm00001d050375_T001
LOC_Os04g53530.1.MSUv7.0	Zm00001d002235_T002	NA
LOC_Os03g52770.1.MSUv7.0	Zm00001d033930_T001	Zm00001d013314_T005
LOC_Os03g29950.1.MSUv7.0	Zm00001d029502_T001	NA
LOC_Os01g15000.1.MSUv7.0	NA	Zm00001d008340_T001
LOC_Os07g07880.1.MSUv7.0	Zm00001d018916_T001	NA
LOC_Os04g41020.1.MSUv7.0	Zm00001d003246_T001	NA
LOC_Os02g33710.1.MSUv7.0	NA	Zm00001d050694_T001
LOC_Os09g31170.1.MSUv7.0	NA	Zm00001d006014_T001
LOC_Os08g39830.1.MSUv7.0	Zm00001d031445_T001	NA
LOC_Os02g47110.1.MSUv7.0	Zm00001d017717_T001	NA
LOC_Os03g51380.1.MSUv7.0	NA	Zm00001d013383_T001
LOC_Os11g32470.1.MSUv7.0	NA	Zm00001d007388_T001
LOC_Os04g45750.1.MSUv7.0	Zm00001d002801_T001	Zm00001d025960_T002
LOC_Os01g01295.1.MSUv7.0	Zm00001d040204_T001	NA
LOC_Os06g10470.1.MSUv7.0	Zm00001d044980_T001	NA
LOC_Os04g39190.1.MSUv7.0	Zm00001d003373_T002	NA
LOC_Os04g55650.1.MSUv7.0	Zm00001d002065_T002	Zm00001d026458_T001
LOC_Os05g04660.1.MSUv7.0	Zm00001d024770_T001	NA
LOC_Os10g40040.1.MSUv7.0	Zm00001d029835_T001	NA
LOC_Os02g58120.1.MSUv7.0	NA	Zm00001d051851_T003
LOC_Os03g53300.1.MSUv7.0	Zm00001d033985_T001	NA
LOC_Os03g57500.1.MSUv7.0	NA	Zm00001d013107_T001
LOC_Os06g35814.1.MSUv7.0	Zm00001d046313_T001	Zm00001d037004_T001
LOC_Os03g57290.1.MSUv7.0	Zm00001d034361_T001	Zm00001d013116_T001
LOC_Os06g11970.1.MSUv7.0	Zm00001d044850_T001	Zm00001d037212_T001
LOC_Os01g43320.1.MSUv7.0	Zm00001d044192_T001	NA
LOC_Os04g47010.1.MSUv7.0	NA	Zm00001d026152_T001
