Cluster_0000	Zm00001d025036,Zm00001d025037
Cluster_0003	Zm00001d023575,Zm00001d023570
Cluster_0005	Zm00001d025185,Zm00001d025193
Cluster_0010	Zm00001d023593,Zm00001d023592,Zm00001d023596,Zm00001d023603
Cluster_0014	Zm00001d025381,Zm00001d025382
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394
Cluster_0016	Zm00001d025397,Zm00001d025392,Zm00001d025395,Zm00001d025389
Cluster_0017	Zm00001d025426,Zm00001d025427
Cluster_0019	Zm00001d025491,Zm00001d025504
Cluster_0020	Zm00001d025496,Zm00001d025500
Cluster_0023	Zm00001d023615,Zm00001d023616
Cluster_0024	Zm00001d025552,Zm00001d025558
Cluster_0025	Zm00001d025554,Zm00001d025561,Zm00001d025565,Zm00001d025556
Cluster_0028	Zm00001d025584,Zm00001d025585
Cluster_0029	Zm00001d025594,Zm00001d025600,Zm00001d025602
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603
Cluster_0031	Zm00001d025599,Zm00001d025593,Zm00001d025607,Zm00001d025601
Cluster_0032	Zm00001d025604,Zm00001d025610
Cluster_0033	Zm00001d025632,Zm00001d025636
Cluster_0034	Zm00001d025633,Zm00001d025629
Cluster_0035	Zm00001d025633,Zm00001d025629
Cluster_0036	Zm00001d025685,Zm00001d025686
Cluster_0039	Zm00001d025808,Zm00001d025812
Cluster_0040	Zm00001d025835,Zm00001d025836
Cluster_0042	Zm00001d025847,Zm00001d025846
Cluster_0043	Zm00001d025881,Zm00001d025875
Cluster_0044	Zm00001d025884,Zm00001d025878,Zm00001d025877
Cluster_0045	Zm00001d025887,Zm00001d025888,Zm00001d025889
Cluster_0047	Zm00001d025921,Zm00001d025920,Zm00001d025923,Zm00001d025922,Zm00001d025924
Cluster_0048	Zm00001d026026,Zm00001d026029,Zm00001d026028
Cluster_0051	Zm00001d026163,Zm00001d026162,Zm00001d026160
Cluster_0052	Zm00001d026170,Zm00001d026169,Zm00001d026171
Cluster_0054	Zm00001d026184,Zm00001d026191,Zm00001d026182
Cluster_0055	Zm00001d026204,Zm00001d026203,Zm00001d026197
Cluster_0058	Zm00001d026235,Zm00001d026236
Cluster_0060	Zm00001d026319,Zm00001d026313
Cluster_0063	Zm00001d026369,Zm00001d026371,Zm00001d026370
Cluster_0064	Zm00001d026382,Zm00001d026383
Cluster_0066	Zm00001d026408,Zm00001d026411
Cluster_0070	Zm00001d026473,Zm00001d026474
Cluster_0073	Zm00001d026488,Zm00001d026489
Cluster_0075	Zm00001d026522,Zm00001d026528
Cluster_0076	Zm00001d023254,Zm00001d023257
Cluster_0077	Zm00001d023673,Zm00001d023677
Cluster_0079	Zm00001d026557,Zm00001d026558
Cluster_0082	Zm00001d026588,Zm00001d026589
Cluster_0083	Zm00001d026663,Zm00001d026661
Cluster_0084	Zm00001d023698,Zm00001d023695
Cluster_0086	Zm00001d023265,Zm00001d023267
Cluster_0089	Zm00001d023721,Zm00001d023722,Zm00001d023723,Zm00001d023728
Cluster_0090	Zm00001d023769,Zm00001d023768
Cluster_0091	Zm00001d023282,Zm00001d023287,Zm00001d023284
Cluster_0092	Zm00001d023799,Zm00001d023800
