Gene Model ID	Gene Symbol	Source	Chromosome	Start	End
GRMZM5G817886	aaa1	MaizeGDB-curated	Chr2	10,216,755	10,222,011
GRMZM2G120302	aap1	MaizeGDB-curated	Chr9	7,579,688	7,587,102
GRMZM2G136910	aasr1	MaizeGDB-curated	Chr10	8,852,553	8,853,933
GRMZM5G854138	aasr2	MaizeGDB-curated	Chr2	139,700,113	139,701,207
GRMZM2G044132	aasr3	MaizeGDB-curated	Chr2	54,473,360	54,474,872
GRMZM2G052100	aasr5	MaizeGDB-curated	Chr10	116,077,391	116,078,438
GRMZM2G057841	aasr6	MaizeGDB-curated	Chr5	171,162,247	171,162,872
GRMZM2G014797	aasr7	MaizeGDB-curated	Chr3	65,662,114	65,662,673
GRMZM2G314075	aasr8	MaizeGDB-curated	Chr3	65,665,421	65,666,059
GRMZM2G383699	aasr9	MaizeGDB-curated	Chr3	65,739,867	65,740,452
GRMZM2G157369	abc1	MaizeGDB-curated	Chr4	171,570,493	171,575,379
GRMZM2G105570	abcf1	MaizeGDB-curated	Chr2	229,565,962	229,569,990
GRMZM2G177812	abcg11	MaizeGDB-curated	Chr2	24,498,593	24,503,843
GRMZM2G179147	abh1	MaizeGDB-curated	Chr5	200,705,194	200,707,991
GRMZM2G126505	abh2	MaizeGDB-curated	Chr4	159,692,123	159,694,949
GRMZM2G105954	abh3	MaizeGDB-curated	Chr4	57,970,815	57,976,241
GRMZM2G065928	abh4	MaizeGDB-curated	Chr7	126,008,605	126,011,545
GRMZM2G002142	abh5	MaizeGDB-curated	Chr2	186,842,961	186,845,670
AC193767.3_FG003	abi10	MaizeGDB-curated	Chr10	148,761,047	148,762,234
GRMZM2G065478	abi11	MaizeGDB-curated	Chr1	165,089,891	165,092,452
GRMZM2G102059	abi12	MaizeGDB-curated	Chr2	15,033,794	15,035,837
GRMZM2G018336	abi13	MaizeGDB-curated	Chr5	28,659,785	28,661,138
GRMZM2G106673	abi14	MaizeGDB-curated	Chr4	26,518,896	26,526,586
GRMZM2G361376	abi15	MaizeGDB-curated	Chr3	232,108,213	232,112,166
GRMZM2G024948	abi16	MaizeGDB-curated	Chr5	196,729,019	196,731,042
GRMZM2G017187	abi17	MaizeGDB-curated	Chr2	48,136,356	48,141,220
GRMZM2G019956	abi18	MaizeGDB-curated	Chr5	18,152,128	18,154,870
GRMZM2G035701	abi19	MaizeGDB-curated	Chr8	154,216,668	154,220,485
GRMZM2G018485	abi2	MaizeGDB-curated	Chr10	134,624,802	134,626,574
GRMZM2G313737	abi20	MaizeGDB-curated	Chr8	155,378,968	155,387,313
GRMZM2G126194	abi21	MaizeGDB-curated	Chr10	109,396,005	109,397,093
GRMZM2G008356	abi22	MaizeGDB-curated	Chr7	157,708,697	157,716,763
GRMZM2G180168	abi23	MaizeGDB-curated	Chr10	78,160,467	78,161,649
GRMZM2G088413	abi24	MaizeGDB-curated	Chr1	254,478,910	254,482,162
GRMZM2G344521	abi25	MaizeGDB-curated	Chr1	254,590,445	254,594,484
GRMZM2G423393	abi26	MaizeGDB-curated	Chr10	67,375,028	67,375,918
GRMZM2G123461	abi27	MaizeGDB-curated	Chr1	180,722,884	180,724,089
GRMZM2G109879	abi28	MaizeGDB-curated	Chr2	103,802,791	103,809,253
GRMZM2G084173	abi29	MaizeGDB-curated	Chr6	68,219,540	68,224,677
GRMZM2G149940	abi3	MaizeGDB-curated	Chr2	1,684,944	1,691,150
GRMZM2G088427	abi30	MaizeGDB-curated	Chr1	254,487,577	254,489,679
GRMZM2G177244	abi31	MaizeGDB-curated	Chr3	165,897,795	165,900,405
GRMZM2G158162	abi32	MaizeGDB-curated	Chr7	173,216,702	173,223,537
GRMZM2G065538	abi33	MaizeGDB-curated	Chr8	152,001,159	152,002,001
GRMZM2G125095	abi34	MaizeGDB-curated	Chr1	83,653,655	83,654,919
GRMZM5G834874	abi35	MaizeGDB-curated	Chr5	181,252,639	181,256,424
GRMZM2G001048	abi36	MaizeGDB-curated	Chr4	14,748,387	14,751,790
GRMZM2G027253	abi37	MaizeGDB-curated	Chr6	56,611,496	56,612,170
GRMZM2G142999	abi38	MaizeGDB-curated	Chr9	125,822,461	125,823,598
GRMZM2G172621	abi39	MaizeGDB-curated	Chr2	217,651,494	217,673,563
GRMZM2G098063	abi4	MaizeGDB-curated	Chr1	254,460,346	254,462,461
GRMZM2G328742	abi40	MaizeGDB-curated	Chr4	189,990,840	189,992,872
GRMZM5G805685	abi41	MaizeGDB-curated	Chr10	6,074,814	6,076,964
GRMZM2G098443	abi42	MaizeGDB-curated	Chr8	96,201,480	96,202,346
GRMZM2G028794	abi43	MaizeGDB-curated	Chr9	150,250,653	150,252,625
GRMZM2G405170	abi44	MaizeGDB-curated	Chr10	44,129,684	44,130,359
GRMZM2G174610	abi45	MaizeGDB-curated	Chr6	154,832,684	154,837,678
GRMZM2G065496	abi46	MaizeGDB-curated	Chr1	165,085,207	165,088,108
GRMZM2G125596	abi47	MaizeGDB-curated	Chr4	195,559,254	195,562,953
GRMZM2G111123	abi48	MaizeGDB-curated	Chr3	221,999,802	222,002,668
GRMZM2G405699	abi49	MaizeGDB-curated	Chr6	267,970	270,851
GRMZM2G320754	abi5	MaizeGDB-curated	Chr5	18,103,497	18,105,325
GRMZM2G102938	abi50	MaizeGDB-curated	Chr6	57,753,651	57,755,275
GRMZM2G173321	abi51	MaizeGDB-curated	Chr10	65,200,137	65,213,038
GRMZM2G160224	abi6	MaizeGDB-curated	Chr1	25,616,688	25,619,269
GRMZM2G109480	abi7	MaizeGDB-curated	Chr1	17,698,816	17,700,801
GRMZM2G082227	abi8	MaizeGDB-curated	Chr1	4,541,352	4,542,978
GRMZM2G522066	abi9	MaizeGDB-curated	Chr1	165,099,882	165,101,147
GRMZM5G832362	abil1	MaizeGDB-curated	Chr3	226,961,580	226,962,818
GRMZM2G132116	abk1	MaizeGDB-curated	Chr3	6,793,085	6,797,402
GRMZM2G035688	abph1	MaizeGDB-curated	Chr2	28,104,302	28,109,281
AC210173.4_FG005	AC210173.4_FG005	MaizeGDB-curated	Chr1	224,102,016	224,105,678
GRMZM2G079908	acb1	MaizeGDB-curated	Chr10	76,415,905	76,418,574
AC197672.3_FG002	acc1	MaizeGDB-curated	Chr10	98,149,608	98,168,566
GRMZM5G858094	acc2	MaizeGDB-curated	Chr2	83,024,018	83,036,516
GRMZM2G164883	acco1	MaizeGDB-curated	Chr6	104,114,291	104,115,533
GRMZM2G166639	acco15	MaizeGDB-curated	Chr10	90,488,171	90,489,769
GRMZM2G007249	acco2	MaizeGDB-curated	Chr7	124,313,854	124,315,851
GRMZM2G126732	acco20	MaizeGDB-curated	Chr4	177,657,802	177,660,210
GRMZM2G166616	acco3	MaizeGDB-curated	Chr10	90,480,467	90,481,799
GRMZM2G072529	acco31	MaizeGDB-curated	Chr10	90,301,775	90,303,069
GRMZM2G052422	acco35	MaizeGDB-curated	Chr5	210,825,846	210,828,416
GRMZM2G332423	acco4	MaizeGDB-curated	Chr10	90,448,978	90,450,072
GRMZM6G953609	ache1	MaizeGDB-curated	scaffold_107	9	854
GRMZM2G020801	aco1	MaizeGDB-curated	Chr4	28,147,612	28,154,163
GRMZM5G858454	aco2	MaizeGDB-curated	Chr10	96,344,573	96,353,240
GRMZM2G009808	aco3	MaizeGDB-curated	Chr9	152,030,140	152,038,415
GRMZM2G171707	aco5	MaizeGDB-curated	Chr2	203,572,465	203,578,306
AC211394.4_FG004	acp1	MaizeGDB-curated	Chr9	95,254,430	95,260,811
GRMZM2G175818	acpt1	MaizeGDB-curated	Chr1	206,784,775	206,787,442
GRMZM2G163015	acs1	MaizeGDB-curated	Chr3	6,433,703	6,435,769
GRMZM2G164405	acs2	MaizeGDB-curated	Chr2	15,900,748	15,904,400
GRMZM2G018006	acs3	MaizeGDB-curated	Chr9	23,963,178	23,966,958
GRMZM2G054361	acs6	MaizeGDB-curated	Chr1	271,834,818	271,837,308
GRMZM5G894619	acs7	MaizeGDB-curated	Chr10	136,107,954	136,110,772
Zm00001d012277	act2	MaizeGDB-curated	Chr8	171,775,071	171,778,423
GRMZM2G097122	adf2	MaizeGDB-curated	Chr2	200,140,261	200,141,322
GRMZM2G060702	adf3	MaizeGDB-curated	Chr1	293,239,343	293,243,048
GRMZM2G077942	adf5	MaizeGDB-curated	Chr1	32,872,877	32,876,200
GRMZM2G178192	adk1	MaizeGDB-curated	Chr6	2,450,158	2,455,264
GRMZM2G119852	adss1	MaizeGDB-curated	Chr1	15,773,077	15,777,890
GRMZM2G437912	adt6	MaizeGDB-curated	Chr2	59,667,646	59,669,581
Zm00001d053301	adxr1	MaizeGDB-curated	Chr4	225,026,663	225,038,512
GRMZM2G032628	ae1	MaizeGDB-curated	Chr5	168,492,139	168,509,225
GRMZM2G059037	afd1	MaizeGDB-curated	Chr6	166,795,461	166,827,341
GRMZM2G095126	agal1	MaizeGDB-curated	Chr1	228,378,444	228,381,659
GRMZM2G162525	ago1	MaizeGDB-curated	Chr8	134,439,555	134,444,960
AC189879.3_FG003	ago101	MaizeGDB-curated	Chr9	87,408,375	87,414,276
GRMZM2G141818	ago104	MaizeGDB-curated	Chr6	168,642,369	168,650,358
GRMZM2G089743	ago105	MaizeGDB-curated	Chr3	43,646,012	43,657,336
GRMZM2G461936	ago108	MaizeGDB-curated	Chr5	13,611,800	13,618,698
GRMZM2G079080	ago10b	MaizeGDB-curated	Chr6	103,286,236	103,293,200
GRMZM2G105250	ago18a	MaizeGDB-curated	Chr2	199,510,528	199,516,085
GRMZM2G457370	ago18b	MaizeGDB-curated	Chr1	250,132,189	250,137,737
GRMZM2G441583	ago1a	MaizeGDB-curated	Chr6	43,253,105	43,261,555
