Gene Model ID	Gene Symbol	Source	Chromosome	Start	End
GRMZM2G026930	a1	Classical Gene	Chr3	216,386,031	216,387,865
GRMZM2G345717	a2	Classical Gene	Chr5	66,136,522	66,139,360
GRMZM2G013726	a4	Classical Gene	Chr8	145,645,771	145,647,394
GRMZM2G116204	abp1	Classical Gene	Chr3	133,916,691	133,921,441
GRMZM2G064371	abp4	Classical Gene	Chr10	26,670,823	26,673,897
GRMZM2G035688	abph1	Classical Gene	Chr2	28,104,302	28,109,281
GRMZM2G126010	act1	Classical Gene	Chr8	99,906,105	99,909,909
GRMZM2G117603	adf1	Classical Gene	Chr7	148,916,447	148,917,753
GRMZM2G442658	adh1	Classical Gene	Chr1	274,050,254	274,054,148
GRMZM2G098346	adh2	Classical Gene	Chr4	13,409,584	13,412,986
GRMZM2G032628	ae1	Classical Gene	Chr5	168,492,139	168,509,225
GRMZM2G059037	afd1	Classical Gene	Chr6	166,795,461	166,827,341
GRMZM2G015295	ahh1	Classical Gene	Chr4	21,158,461	21,161,610
GRMZM2G104546	akh2	Classical Gene	Chr2	173,486,913	173,506,976
GRMZM2G057823	ald1	Classical Gene	Chr3	165,765,568	165,768,179
GRMZM5G883855	am1	Classical Gene	Chr5	16,109,038	16,115,968
GRMZM2G138468	amya3	Classical Gene	Chr2	186,911,744	186,913,606
GRMZM2G058310	amyb5	Classical Gene	Chr7	155,396,510	155,399,710
GRMZM2G081554	an1	Classical Gene	Chr1	241,277,428	241,285,679
GRMZM2G039942	ane1	Classical Gene	Chr4	222,614,892	222,615,724
GRMZM2G372553	ane3	Classical Gene	Chr10	80,752,876	80,753,536
GRMZM2G135186	ant2	Classical Gene	Chr4	163,798,958	163,802,105
GRMZM2G448687	apt1	Classical Gene	Chr9	129,022,644	129,046,413
GRMZM2G032315	arpp1a	Classical Gene	Chr6	4,596,812	4,609,378
GRMZM2G119809	arpp2a	Classical Gene	Chr8	72,904,843	72,907,132
GRMZM2G101020	atp1	Classical Gene	Chr3	141,387,560	141,390,705
GRMZM2G172795	b1	Classical Gene	Chr2	19,041,697	19,046,154
GRMZM2G397518	ba1	Classical Gene	Chr3	183,139,911	183,140,880
GRMZM2G152655	bap2	Classical Gene	Chr4	34,294,927	34,295,919
GRMZM2G307119	bd1	Classical Gene	Chr7	172,248,843	172,250,339
GRMZM2G160565	bde1	Classical Gene	Chr5	196,601,246	196,608,839
GRMZM2G175976	betl3	Classical Gene	Chr3	132,282,587	132,283,333
GRMZM2G171822	bif2	Classical Gene	Chr1	173,865,554	173,867,297
GRMZM2G114793	bip1	Classical Gene	Chr5	69,354,043	69,357,915
GRMZM5G844562	bm1	Classical Gene	Chr5	99,030,278	99,034,633
AC196475.3_FG004	bm3	Classical Gene	Chr4	32,278,881	32,280,752
GRMZM5G842058	brk1	Classical Gene	Chr5	216,747,837	216,749,400
GRMZM2G062788	bsd2	Classical Gene	Chr1	158,329,236	158,340,592
GRMZM2G144081	bt1	Classical Gene	Chr5	112,964,229	112,966,353
GRMZM2G068506	bt2	Classical Gene	Chr4	58,979,526	58,985,686
GRMZM2G085381	bx1	Classical Gene	Chr4	3,260,762	3,263,006
GRMZM2G085661	bx2	Classical Gene	Chr4	3,265,213	3,267,368
GRMZM2G167549	bx3	Classical Gene	Chr4	3,003,162	3,005,932
GRMZM2G172491	bx4	Classical Gene	Chr4	3,051,215	3,054,036
GRMZM2G063756	bx5	Classical Gene	Chr4	3,112,925	3,115,501
GRMZM2G165390	bz1	Classical Gene	Chr9	11,779,648	11,781,406
GRMZM2G016241	bz2	Classical Gene	Chr1	241,430,768	241,432,121
GRMZM2G005066	c1	Classical Gene	Chr9	9,746,518	9,747,591
GRMZM2G422750	c2	Classical Gene	Chr4	192,758,391	192,761,788
AC199526.5_FG003	caf2	Classical Gene	Chr3	58,874,517	58,886,337
GRMZM2G117582	cal1	Classical Gene	Chr6	155,708,190	155,712,626
GRMZM2G067511	cal2	Classical Gene	Chr3	38,428,315	38,432,905
GRMZM2G152891	cal3	Classical Gene	Chr1	52,092,838	52,096,639
GRMZM2G056014	cap1	Classical Gene	Chr8	132,408,451	132,413,070
GRMZM2G088212	cat1	Classical Gene	Chr5	63,593,142	63,597,617
GRMZM2G090568	cat2	Classical Gene	Chr1	7,153,870	7,156,146
GRMZM2G079348	cat3	Classical Gene	Chr4	240,651,914	240,655,881
GRMZM2G098298	ccp1	Classical Gene	Chr5	158,904,820	158,908,319
GRMZM2G038636	ccp2	Classical Gene	Chr7	122,016,558	122,021,703
GRMZM2G364069	cdj2	Classical Gene	Chr1	250,153,164	250,156,813
GRMZM2G112336	cesa1	Classical Gene	Chr8	79,738,607	79,744,724
GRMZM2G027723	cesa2	Classical Gene	Chr6	128,743,576	128,750,030
GRMZM2G039454	cesa3	Classical Gene	Chr3	11,648,913	11,655,958
GRMZM2G111642	cesa5	Classical Gene	Chr1	290,666,783	290,672,751
GRMZM2G113137	cesa6	Classical Gene	Chr1	296,334,073	296,339,855
