Cluster_ID	Genes	Maize_Gene	Best_Sb	Best_Sb_dS	Best_Os	Best_Os_dS
Cluster_0000	Zm00001d025036,Zm00001d025037	Zm00001d025036	Sobic.006G024000.1	0.2654	OS04T0206600-01	1.1443
Cluster_0003	Zm00001d023570,Zm00001d023575	Zm00001d023570	Sobic.008G055100.1	0.9133	NA	NA
Cluster_0005	Zm00001d025193,Zm00001d025185	Zm00001d025193	Sobic.006G044600.2	0.1643	OS04T0376500-01	0.4510
Cluster_0007	Zm00001d023588,Zm00001d023587	Zm00001d023587	Sobic.008G058300.1	0.2200	NA	NA
Cluster_0007	Zm00001d023588,Zm00001d023587	Zm00001d023588	Sobic.008G058600.2	0.4131	NA	NA
Cluster_0009	Zm00001d025267,Zm00001d025265	Zm00001d025267	Sobic.006G055800.1	0.2072	OS11T0580800-01	0.6869
Cluster_0010	Zm00001d023603,Zm00001d023596,Zm00001d023593,Zm00001d023592	Zm00001d023593	Sobic.008G059100.1	1.8676	NA	NA
Cluster_0010	Zm00001d023603,Zm00001d023596,Zm00001d023593,Zm00001d023592	Zm00001d023596	Sobic.008G059200.1	1.0537	NA	NA
Cluster_0011	Zm00001d025319,Zm00001d025310	Zm00001d025310	Sobic.006G063100.3	0.5325	NA	NA
Cluster_0011	Zm00001d025319,Zm00001d025310	Zm00001d025319	Sobic.006G063500.1	0.4583	NA	NA
Cluster_0012	Zm00001d025350,Zm00001d025349	Zm00001d025350	Sobic.002G361600.1	0.1374	OS07T0593000-01	1.3214
Cluster_0013	Zm00001d025355,Zm00001d025354	Zm00001d025354	Sobic.006G070564.1	0.4847	NA	NA
Cluster_0013	Zm00001d025355,Zm00001d025354	Zm00001d025355	Sobic.006G070032.1	0.7706	NA	NA
Cluster_0015	Zm00001d025388,Zm00001d025396,Zm00001d025394,Zm00001d025393,Zm00001d025391,Zm00001d025390,Zm00001d025383	Zm00001d025383	Sobic.006G076500.1	0.5274	NA	NA
Cluster_0016	Zm00001d025397,Zm00001d025389,Zm00001d025395,Zm00001d025392	Zm00001d025397	Sobic.006G077200.1	0.1238	NA	NA
Cluster_0018	Zm00001d023608,Zm00001d023611	Zm00001d023611	Sobic.008G060200.1	0.5811	NA	NA
Cluster_0019	Zm00001d025491,Zm00001d025504	Zm00001d025504	Sobic.006G093200.1	0.1185	NA	NA
