Cluster_ID	Genes	Maize_Gene	Best_Sb	Best_Sb_dS	Best_Os	Best_Os_dS
Cluster_0002	Zm00008a037677,Zm00008a037678	Zm00008a037677	Sobic.005G037100.1	0.8133	NA	NA
Cluster_0003	Zm00008a037686,Zm00008a037687	Zm00008a037686	Sobic.006G032700.2	0.1679	OS04T0249600-02	0.7447
Cluster_0004	Zm00008a036557,Zm00008a036556,Zm00008a036555,Zm00008a036558	Zm00008a036556	Sobic.008G055100.1	1.3815	NA	NA
Cluster_0005	Zm00008a036564,Zm00008a036565	Zm00008a036564	Sobic.008G057900.1	0.1257	NA	NA
Cluster_0009	Zm00008a037756,Zm00008a037755	Zm00008a037756	Sobic.006G044600.2	0.1520	OS04T0376500-01	0.4754
Cluster_0010	Zm00008a037760,Zm00008a037759	Zm00008a037760	Sobic.006G043800.1	0.3748	NA	NA
Cluster_0014	Zm00008a037811,Zm00008a037812	Zm00008a037811	Sobic.006G056200.4	0.2087	OS07T0291100-02	0.7734
Cluster_0015	Zm00008a036575,Zm00008a036576,Zm00008a036578,Zm00008a036573,Zm00008a036583	Zm00008a036575	Sobic.008G059100.1	1.6678	NA	NA
Cluster_0015	Zm00008a036575,Zm00008a036576,Zm00008a036578,Zm00008a036573,Zm00008a036583	Zm00008a036578	Sobic.008G059200.1	1.5775	NA	NA
Cluster_0016	Zm00008a037828,Zm00008a037829	Zm00008a037828	Sobic.006G062500.1	0.1458	NA	NA
Cluster_0017	Zm00008a037855,Zm00008a037856	Zm00008a037855	Sobic.006G070564.1	0.4804	NA	NA
Cluster_0017	Zm00008a037855,Zm00008a037856	Zm00008a037856	Sobic.006G070032.1	0.7668	NA	NA
Cluster_0021	Zm00008a037890,Zm00008a037900,Zm00008a037886,Zm00008a037887,Zm00008a037884,Zm00008a037888,Zm00008a037881	Zm00008a037881	Sobic.006G076500.1	0.6309	NA	NA
Cluster_0022	Zm00008a037917,Zm00008a037927	Zm00008a037917	Sobic.006G083400.1	0.1583	NA	NA
Cluster_0022	Zm00008a037917,Zm00008a037927	Zm00008a037927	Sobic.006G085700.1	0.1715	NA	NA
Cluster_0024	Zm00008a037928,Zm00008a037945,Zm00008a037944,Zm00008a037943	Zm00008a037928	Sobic.006G085800.1	0.1423	NA	NA
Cluster_0024	Zm00008a037928,Zm00008a037945,Zm00008a037944,Zm00008a037943	Zm00008a037943	Sobic.006G085900.1	0.2052	OS04T0436800-01	0.7043
Cluster_0024	Zm00008a037928,Zm00008a037945,Zm00008a037944,Zm00008a037943	Zm00008a037945	Sobic.006G089900.1	0.1763	NA	NA
Cluster_0025	Zm00008a036586,Zm00008a036587,Zm00008a036571	Zm00008a036571	Sobic.008G058600.2	0.4151	NA	NA
Cluster_0025	Zm00008a036586,Zm00008a036587,Zm00008a036571	Zm00008a036587	Sobic.008G060200.1	0.8423	NA	NA
Cluster_0026	Zm00008a037959,Zm00008a037961,Zm00008a037960	Zm00008a037961	Sobic.006G093200.1	0.1264	NA	NA
