Cluster_ID	Cluster_Genes	Maize_Gene	Sorghum_Gene	Orzya_Gene	Note
Cluster_0001	Zm00001d025085,Zm00001d025086	Zm00001d025085	Sobic.006G032900.1	NA	BLAST
Cluster_0004	Zm00001d025174,Zm00001d025175	Zm00001d025174	Sobic.006G049600.1	NA	BLAST_Leftmost
Cluster_0007	Zm00001d023587,Zm00001d023588	Zm00001d023587	Sobic.008G058300.1	NA	SynMap_Chosen
Cluster_0007	Zm00001d023587,Zm00001d023588	Zm00001d023588	Sobic.008G058600.2	NA	Other_Orthologue
Cluster_0008	Zm00001d025253,Zm00001d025255	Zm00001d025253	Sobic.006G055000.1	NA	BLAST_Leftmost
Cluster_0009	Zm00001d025265,Zm00001d025267	Zm00001d025267	Sobic.006G055800.1	NA	Both
Cluster_0011	Zm00001d025310,Zm00001d025319	Zm00001d025319	Sobic.006G062900.1	NA	SynMap_Chosen
Cluster_0011	Zm00001d025310,Zm00001d025319	Zm00001d025310	Sobic.006G063100.3	NA	Other_Orthologue
Cluster_0012	Zm00001d025349,Zm00001d025350	Zm00001d025350	Sobic.002G361600.1	OS07T0593000-01	Orthofinder_Only
Cluster_0013	Zm00001d025354,Zm00001d025355	Zm00001d025354	NA	OS04T0413500-01	SynMap_Chosen
Cluster_0013	Zm00001d025354,Zm00001d025355	Zm00001d025355	Sobic.006G070032.1	NA	Other_Orthologue
Cluster_0021	Zm00001d025528,Zm00001d025533	Zm00001d025528	Sobic.006G096000.1	NA	SynMap_Chosen
Cluster_0021	Zm00001d025528,Zm00001d025533	Zm00001d025533	Sobic.006G096400.1	NA	Other_Orthologue
Cluster_0027	Zm00001d025572,Zm00001d025573	Zm00001d025572	Sobic.006G102800.1	NA	Orthofinder_Only
Cluster_0038	Zm00001d025774,Zm00001d025775	Zm00001d025774	Sobic.006G135800.1	NA	BLAST
Cluster_0050	Zm00001d026133,Zm00001d026134	Zm00001d026134	Sobic.006G178200.1	NA	Both
Cluster_0050	Zm00001d026133,Zm00001d026134	Zm00001d026133	Sobic.006G178300.2	NA	Other_Orthologue
Cluster_0053	Zm00001d026177,Zm00001d026178	Zm00001d026177	Sobic.006G170600.1	NA	SynMap_Chosen
Cluster_0053	Zm00001d026177,Zm00001d026178	Zm00001d026178	Sobic.006G170500.2	NA	Other_Orthologue
Cluster_0056	Zm00001d026221,Zm00001d026220	Zm00001d026221	Sobic.006G201200.1	NA	Both
Cluster_0059	Zm00001d026251,Zm00001d026250	Zm00001d026251	Sobic.006G205700.1	NA	Both
Cluster_0059	Zm00001d026251,Zm00001d026250	Zm00001d026250	Sobic.006G205600.1	NA	Other_Orthologue
Cluster_0065	Zm00001d023247,Zm00001d023248	Zm00001d023247	Sobic.008G012700.1	NA	Orthofinder_Only
Cluster_0065	Zm00001d023247,Zm00001d023248	Zm00001d023248	Sobic.008G012800.2	OS11T0141500-00	Orthofinder_Only
Cluster_0067	Zm00001d026413,Zm00001d026406	Zm00001d026413	Sobic.006G235200.1	NA	Both
Cluster_0067	Zm00001d026413,Zm00001d026406	Zm00001d026406	Sobic.006G234800.1	NA	Other_Orthologue
Cluster_0068	Zm00001d026445,Zm00001d026446	Zm00001d026445	Sobic.006G240400.1	NA	BLAST
Cluster_0069	Zm00001d026454,Zm00001d026457	Zm00001d026454	Sobic.006G241200.1	NA	Both
Cluster_0069	Zm00001d026454,Zm00001d026457	Zm00001d026457	Sobic.006G241400.1	OS04T0649600-01	Other_Orthologue
Cluster_0071	Zm00001d026483,Zm00001d026485	Zm00001d026483	Sobic.006G245400.1	NA	SynMap_Chosen
Cluster_0071	Zm00001d026483,Zm00001d026485	Zm00001d026485	Sobic.006G245900.1	NA	Other_Orthologue
Cluster_0072	Zm00001d026485,Zm00001d026484	Zm00001d026485	Sobic.006G245900.1	NA	Both
Cluster_0094	Zm00001d023841,Zm00001d023840	Zm00001d023841	Sobic.008G123000.1	NA	Orthofinder_Only
Cluster_0099	Zm00001d023313,Zm00001d023314	Zm00001d023313	Sobic.008G026600.1	NA	Both
Cluster_0099	Zm00001d023313,Zm00001d023314	Zm00001d023314	Sobic.008G026800.1	OS12T0117400-01	Other_Orthologue
Cluster_0100	Zm00001d023932,Zm00001d023931	Zm00001d023932	Sobic.008G112200.1	NA	BLAST
Cluster_0104	Zm00001d023332,Zm00001d023336	Zm00001d023332	Sobic.008G028600.1	NA	Orthofinder_Only
Cluster_0104	Zm00001d023332,Zm00001d023336	Zm00001d023336	Sobic.008G028800.1	OS12T0116600-01	Orthofinder_Only
Cluster_0113	Zm00001d023384,Zm00001d023385	Zm00001d023385	Sobic.008G034500.1	NA	SynMap_Chosen
Cluster_0113	Zm00001d023384,Zm00001d023385	Zm00001d023384	Sobic.008G034700.1	NA	Other_Orthologue
Cluster_0114	Zm00001d024092,Zm00001d024093	Zm00001d024093	Sobic.007G096800.1	NA	BLAST
