Anchor	Maize1	Maize2
LOC_Os02g40550.1.MSUv7.0	Zm00008a022344_T01.v1.1	NA
LOC_Os02g04670.1.MSUv7.0	Zm00008a020914_T01.v1.1	NA
LOC_Os05g49030.1.MSUv7.0	Zm00008a026452_T01.v1.1	Zm00008a030788_T01.v1.1
LOC_Os06g47360.1.MSUv7.0	NA	Zm00008a024518_T01.v1.1
LOC_Os04g44060.1.MSUv7.0	Zm00008a006856_T01.v1.1	NA
LOC_Os06g10530.1.MSUv7.0	Zm00008a033434_T01.v1.1	NA
LOC_Os02g44470.1.MSUv7.0	Zm00008a022553_T01.v1.1	Zm00008a016906_T01.v1.1
LOC_Os12g07060.1.MSUv7.0	Zm00008a036528_T01.v1.1	NA
LOC_Os07g43890.1.MSUv7.0	Zm00008a029439_T01.v1.1	Zm00008a009836_T01.v1.1
LOC_Os08g40160.1.MSUv7.0	Zm00008a003257_T01.v1.1	NA
LOC_Os01g55050.1.MSUv7.0	NA	Zm00008a033202_T01.v1.1
LOC_Os07g25460.1.MSUv7.0	Zm00008a027352_T01.v1.1	NA
LOC_Os04g35410.1.MSUv7.0	Zm00008a007348_T01.v1.1	Zm00008a037918_T01.v1.1
LOC_Os03g50310.1.MSUv7.0	Zm00008a004972_T01.v1.1	Zm00008a019542_T01.v1.1
LOC_Os11g08400.1.MSUv7.0	Zm00008a018188_T01.v1.1	NA
LOC_Os02g46610.1.MSUv7.0	Zm00008a022690_T01.v1.1	Zm00008a016993_T01.v1.1
LOC_Os05g40410.1.MSUv7.0	Zm00008a026052_T01.v1.1	Zm00008a031555_T01.v1.1
LOC_Os12g38640.1.MSUv7.0	Zm00008a002716_T01.v1.1	NA
LOC_Os11g02280.1.MSUv7.0	Zm00008a017672_T01.v1.1	NA
LOC_Os04g57930.1.MSUv7.0	Zm00008a005949_T01.v1.1	Zm00008a038842_T01.v1.1
LOC_Os11g29910.1.MSUv7.0	Zm00008a015285_T01.v1.1	NA
LOC_Os02g09340.1.MSUv7.0	NA	Zm00008a018654_T01.v1.1
LOC_Os06g45280.1.MSUv7.0	Zm00008a034883_T01.v1.1	Zm00008a024609_T01.v1.1
LOC_Os03g02670.1.MSUv7.0	NA	Zm00008a036186_T01.v1.1
LOC_Os03g42710.1.MSUv7.0	Zm00008a004650_T01.v1.1	NA
LOC_Os05g03884.1.MSUv7.0	Zm00008a023755_T01.v1.1	Zm00008a031788_T01.v1.1
LOC_Os04g53700.1.MSUv7.0	Zm00008a006202_T01.v1.1	NA
LOC_Os04g05010.1.MSUv7.0	Zm00008a007938_T01.v1.1	NA
LOC_Os02g47920.1.MSUv7.0	Zm00008a022787_T01.v1.1	NA
LOC_Os05g41160.1.MSUv7.0	Zm00008a026075_T01.v1.1	NA
LOC_Os04g52300.1.MSUv7.0	Zm00008a006304_T01.v1.1	Zm00008a038587_T01.v1.1
LOC_Os03g17940.1.MSUv7.0	Zm00008a001174_T01.v1.1	NA
LOC_Os01g01360.1.MSUv7.0	Zm00008a011364_T01.v1.1	NA
LOC_Os10g34200.1.MSUv7.0	Zm00008a004142_T01.v1.1	NA
LOC_Os01g74470.1.MSUv7.0	Zm00008a012606_T01.v1.1	NA
LOC_Os02g51300.1.MSUv7.0	Zm00008a022991_T01.v1.1	Zm00008a017612_T01.v1.1
LOC_Os11g43600.1.MSUv7.0	Zm00008a014948_T01.v1.1	NA
LOC_Os01g73880.1.MSUv7.0	Zm00008a012629_T01.v1.1	NA
LOC_Os05g50900.1.MSUv7.0	NA	Zm00008a030884_T01.v1.1
LOC_Os04g47690.2.MSUv7.0	Zm00008a006539_T01.v1.1	NA
LOC_Os06g07550.1.MSUv7.0	NA	Zm00008a025234_T01.v1.1
LOC_Os07g09310.1.MSUv7.0	NA	Zm00008a010440_T01.v1.1
LOC_Os03g54750.1.MSUv7.0	Zm00008a005220_T01.v1.1	Zm00008a019385_T01.v1.1
LOC_Os03g03450.1.MSUv7.0	NA	Zm00008a036157_T01.v1.1
